id,trama_og,codified,modified,w_noise
0,'00001111011','000011110111110001001101000010011001001100','000011110111110001001101000010011001001100','0'
1,'001111100111000','0011111001110001000001010100101100010001000100','0011111001110001000001010100101100010001000100','0'
2,'10001101101000','100011011010001101001000011000110001001010100','1000110110100011010010000101000110001001010100','1'
3,'101010010101100','1010100101011000111010001111010000101111011000','1010100101011000111010001111010000101111011000','0'
4,'1000111111101','10001111111011110100110000010100010001100010','100011111110111101001100000010100010001100010','1'
5,'1000001001000','10000010010001110101010100100111101111010010','10000010010001110101010100100111101111010010','0'
6,'0010101101101','00101011011010000111001000010111011110011100','00101011011010000111001000010111011110011100','0'
7,'10110101110010','101101011100101001100010100000110001001011000','101101011100101001100010100000110001001011000','0'
8,'1000111000111','10001110001110110010001001010111000000011000','10001110001110110010001001010111000000011000','0'
9,'011100101','0111001011010010011110011001000111001010','0111001011010010011110011001000111001010','0'
10,'1110011110011','11100111100111110111110110110010011100101010','11100111100111110111110110110010011100101010','0'
11,'10110011010011','101100110100111110110101110011010100101111100','101100110100111110110101110011010100101111100','0'
12,'10010011','100100110000101000001001101001111001000','100100110000101000001001101001111001000','0'
13,'010101110','0101011101111000000101001111100110110110','0101011101111000000101001111100110110110','0'
14,'110100001010010010','1101000010100100101110111110110011100111010100010','1101000010100100101110111110110011100111010100010','0'
15,'010111101100','0101111011000110111101111100100000001011110','0101111011000110111101111100100000001011110','0'
16,'00101000010','001010000101100011111110110111001100101000','001010000101100011111110110111001100101000','0'
17,'11001011','110010110101010011011010110100001111100','110010110101010011011010110100001111100','0'
18,'000000010','0000000101101010001010100001110100110100','0000000101101010001010100001110100110100','0'
19,'101001001111010010010','1010010011110100100100001111001000010010110011010100','1010010011110100100100001111001000010010110011010100','0'
20,'11010100110','110101001100011001101010110111101110101000','110101001100011001101010110111101110101000','0'
21,'1011000010101100','10110000101011000011110110010001000101000101100','10110000101011000011110110010001000101000101100','0'
22,'1101101110','11011011101110100010011111010111011110010','11011011101110100010011111010111011110010','0'
23,'100011010','1000110101000111100001101011101000101100','1000110101000111100001101011101000101100','0'
24,'11000101','110001011010110100100010010011011000100','110001011010110100100010010011011000100','0'
25,'1101111110000','11011111100000011001100010010110100110010100','11011111100000011001100010010110100110010100','0'
26,'010001101110','0100011011101010011000010100001011010000010','0100011011101010011000010100001011010000010','0'
