alg_received,bits,reqs,orig,corr,res
'001100011011110101;00111;1001111010001','001100011011110101','00111','1001111010001','',"'Todo correcto, el mensaje no cuenta con errores'"
'11101010101000000;11000;000001011011','11101010101000000','11000','000001011011','11001','Hubo un error en el bit 1'
'10000001001101;1001;1011000000','10000001001101','1001','1011000000','1000','Hubo un error en el bit 1'
'010100010001110110;01111;0101110000000','010100010001110110','01111','0101110000000','00111','Hubo un error en el bit 4'
'0001101101010010010010;00110;01001010010101010','0001101101010010010010','00110','01001010010101010','00111','Hubo un error en el bit 1'
'01110111000110101010;01110;010110110001101','01110111000110101010','01110','010110110001101','11110','Hubo un error en el bit 5'
'010111111110101;0111;10101111110','010111111110101','0111','10101111110','',"'Todo correcto, el mensaje no cuenta con errores'"
'110011100101000110;11001;0100010101110','110011100101000110','11001','0100010101110','',"'Todo correcto, el mensaje no cuenta con errores'"
'010100100011101100010;01101;0100010111001000','010100100011101100010','01101','0100010111001000','01101','Hubo un error en el bit 6'
'111001110010000101;11011;1000001001101','111001110010000101','11011','1000001001101','11001','Hubo un error en el bit 2'
'000111011001111000101;00110;1010011110010110','000111011001111000101','00110','1010011110010110','00111','Hubo un error en el bit 1'
'01111010100110100;01100;010110011011','01111010100110100','01100','010110011011','01100','Hubo un error en el bit 7'
'11010111101011100;11110;011101011100','11010111101011100','11110','011101011100','',"'Todo correcto, el mensaje no cuenta con errores'"
'01001001101010;0101;0101010010','01001001101010','0101','0101010010','0111','Hubo un error en el bit 2'
'100111100111110001101001110;10100;0111001011001111101110','100111100111110001101001110','10100','0111001011001111101110','10100','Hubo un error en el bit 6'
'001100101100000011000;00100;0001100000111001','001100101100000011000','00100','0001100000111001','00000','Hubo un error en el bit 3'
'0010000001101100011;00000;11001101100001','0010000001101100011','00000','11001101100001','',"'Todo correcto, el mensaje no cuenta con errores'"
'0101000101110111001111111;01111;11111110011011100000','0101000101110111001111111','01111','11111110011011100000','00111','Hubo un error en el bit 4'
'1010010010001;1000;100010101','1010010010001','1000','100010101','',"'Todo correcto, el mensaje no cuenta con errores'"
'01000110001111000011;01000;110001111001100','01000110001111000011','01000','110001111001100','00000','Hubo un error en el bit 4'
'1001000011000110001100;10100;00110011000110000','1001000011000110001100','10100','00110011000110000','10100','Hubo un error en el bit 6'
'00111101110111000;00110;001110110111','00111101110111000','00110','001110110111','00111','Hubo un error en el bit 1'
'01101101100011;0101;1100010111','01101101100011','0101','1100010111','0111','Hubo un error en el bit 2'
'111001111001111;1101;11110011101','111001111001111','1101','11110011101','1111','Hubo un error en el bit 2'
'10100000100010000101;10000;101000100010001','10100000100010000101','10000','101000100010001','00000','Hubo un error en el bit 5'
'1111010101001101100101;11111;10100101100100101','1111010101001101100101','11111','10100101100100101','11110','Hubo un error en el bit 1'
'01011001001000;0111;0001000010','01011001001000','0111','0001000010','',"'Todo correcto, el mensaje no cuenta con errores'"
'10010010110000011;10101;100000111000','10010010110000011','10101','100000111000','10101','Hubo un error en el bit 7'
'100001011011110101;10011;1001111010100','100001011011110101','10011','1001111010100','10011','Hubo un error en el bit 6'
'01111100111001;0110;1001110111','01111100111001','0110','1001110111','0111','Hubo un error en el bit 1'
'11001011000111011101011;11011;110101101110001010','11001011000111011101011','11011','110101101110001010','11001','Hubo un error en el bit 2'
'110000111011101000;11010;0010111011000','110000111011101000','11010','0010111011000','11110','Hubo un error en el bit 3'
'1001000001010111010;10101;01011010100000','1001000001010111010','10101','01011010100000','10101','Hubo un error en el bit 7'
'110010010111110;1101;01111100010','110010010111110','1101','01111100010','1111','Hubo un error en el bit 2'
'10011111100000;1011;0000011110','10011111100000','1011','0000011110','1111','Hubo un error en el bit 3'
'0111101001001;0110;100101011','0111101001001','0110','100101011','0111','Hubo un error en el bit 1'
'00110100000001100;00100;011000000101','00110100000001100','00100','011000000101','00000','Hubo un error en el bit 3'
'100001001001110110;10001;0101110010100','100001001001110110','10001','0101110010100','11001','Hubo un error en el bit 4'
'001000001100;0000;00110001','001000001100','0000','00110001','',"'Todo correcto, el mensaje no cuenta con errores'"
'10010011001000000110;10110;011000001001000','10010011001000000110','10110','011000001001000','11110','Hubo un error en el bit 4'
'01100010100110110010101;01001;101010010110011001','01100010100110110010101','01001','101010010110011001','11001','Hubo un error en el bit 5'
'001010111110011000;00010;0011001111011','001010111110011000','00010','0011001111011','00000','Hubo un error en el bit 2'
'1000111011101111100;10001;00111101111110','1000111011101111100','10001','00111101111110','11001','Hubo un error en el bit 4'
'1000000001110101010;10001;01001011100000','1000000001110101010','10001','01001011100000','11001','Hubo un error en el bit 4'
'100110001100011101;10101;1011000110010','100110001100011101','10101','1011000110010','10101','Hubo un error en el bit 7'
'000000110001110000;00010;0001110001000','000000110001110000','00010','0001110001000','00000','Hubo un error en el bit 2'
'11010010011110;1110;0111101000','11010010011110','1110','0111101000','1111','Hubo un error en el bit 1'
'101010111011000110110;10011;0110100011011011','101010111011000110110','10011','0110100011011011','10011','Hubo un error en el bit 6'
'10100101000111001100;10010;001101110000101','10100101000111001100','10010','001101110000101','10010','Hubo un error en el bit 7'
'001101001101010;0010;01010110101','001101001101010','0010','01010110101','0000','Hubo un error en el bit 2'
